948742263	20200919	202009	2020	2020.7096	GOV	FINANCE MINIST						GOV			LEG	PARLIAMENT						LEG			0	114	114	11	3	-2.0	10	1	10	-7.28260869565217	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200926	https://www.businesstoday.in/current/economy-politics/gst-compensation-cess-used-elsewhere-against-law-cag/story/417065.html
948742286	20200926	202009	2020	2020.7288											AGR	FARMER						AGR			1	032	032	03	1	4.5	4	1	4	-6.21468926553672	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200926	https://indianexpress.com/article/india/how-protests-played-out-in-other-states-6616128/
948742312	20200926	202009	2020	2020.7288											BUS	COMPANIES						BUS			1	040	040	04	1	1.0	15	1	10	1.2	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200926	https://www.wausaudailyherald.com/story/money/business/2020/09/25/report-harley-davidson-may-continue-sell-motorcycles-india/3534111001/
948742415	20200926	202009	2020	2020.7288											ELI	ACTOR						ELI			0	173	173	17	4	-5.0	3	1	3	-3.98671096345515	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200926	https://www.pakistantelegraph.com/news/266508506/ncb-job-is-to-prevent-drug-smuggling-raut-criticises-agency-role
948742416	20200926	202009	2020	2020.7288											ELI	ACTOR						ELI			1	173	173	17	4	-5.0	11	4	11	-3.47405716621346	0							4	Dharma, India (general), India	IN	IN00	14.85	75.2667	-2094675	4	Dharma, India (general), India	IN	IN00	14.85	75.2667	-2094675	20200926	https://www.newindianexpress.com/entertainment/hindi/2020/sep/25/actor-rakul-preet-singhs-statement-recorded-before-ncb-in-drug-case-2201885.html
948742417	20200926	202009	2020	2020.7288											ELI	ACTOR						ELI			0	173	173	17	4	-5.0	1	1	1	-3.98671096345515	0							4	Shiv, Rajasthan, India	IN	IN24	26.1833	71.25	-2111141	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200926	https://www.pakistantelegraph.com/news/266508506/ncb-job-is-to-prevent-drug-smuggling-raut-criticises-agency-role
948742418	20200926	202009	2020	2020.7288											ELI	ACTOR						ELI			0	173	173	17	4	-5.0	1	1	1	-3.98671096345515	0							4	Shiv, Rajasthan, India	IN	IN24	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	26.1833	71.25	-2111141	20200926	https://www.pakistantelegraph.com/news/266508506/ncb-job-is-to-prevent-drug-smuggling-raut-criticises-agency-role
948742431	20200926	202009	2020	2020.7288											GOV	GOVERNMENT						GOV			0	010	010	01	1	0.0	2	1	2	-5.33562822719449	0							4	Pratapgarh, Uttar Pradesh, India	IN	IN36	25.9333	81.9833	-2090935	4	Lucknow, Uttar Pradesh, India	IN	IN36	26.85	80.9167	-2102835	20200926	https://indianexpress.com/article/india/pratapgarh-sdm-suspended-after-he-protests-at-dm-residence-661622/
948742432	20200926	202009	2020	2020.7288											GOV	GOVERNMENT						GOV			0	010	010	01	1	0.0	3	1	3	-5.33562822719449	0							4	Lalganj, Uttar Pradesh, India	IN	IN36	25.0167	82.3667	-2102395	4	Lalganj, Uttar Pradesh, India	IN	IN36	25.0167	82.3667	-2102395	20200926	https://indianexpress.com/article/india/pratapgarh-sdm-suspended-after-he-protests-at-dm-residence-661622/
948742451	20200926	202009	2020	2020.7288											GOV	GOVERNMENT						GOV			0	060	060	06	2	6.0	5	1	5	-4.96083550913838	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200926	https://www.newindianexpress.com/opinions/editorials/2020/sep/26/fcraamendmentswill-throttle-civilsociety-organisations-2202029.html
948742467	20200926	202009	2020	2020.7288											HLH	HOSPITAL						HLH			1	043	043	04	1	2.8	2	1	2	-7.07070707070707	0							4	Kilpauk, Tamil Nadu, India	IN	IN25	13.08	80.2408	9086804	4	Kilpauk, Tamil Nadu, India	IN	IN25	13.08	80.2408	9086804	20200926	https://www.newindianexpress.com/cities/chennai/2020/sep/26/strife-over-pay-back-youth-pushed-to-death-2201993.html
948742473	20200926	202009	2020	2020.7288											IND	MUMBAI	IND								1	042	042	04	1	1.9	434	66	410	-2.42689317937022	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200926	https://indianewengland.com/2020/09/bollywood-roundup-urvashi-rautela-jacqueline-fernandez-swara-bhasker-and-more/
948742474	20200926	202009	2020	2020.7288											IND	MUMBAI	IND								1	042	042	04	1	1.9	26	6	26	-1.08397273875879	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200926	https://indianewengland.com/2020/09/bollywood-roundup-urvashi-rautela-jacqueline-fernandez-swara-bhasker-and-more/
948742475	20200926	202009	2020	2020.7288											IND	RANCHI	IND								1	111	111	11	3	-2.0	6	1	6	0.47619047619047	0							4	Ranchi, Jharkhand, India	IN	IN38	23.35	85.3333	-2109068	4	Ranchi, Jharkhand, India	IN	IN38	23.35	85.3333	-2109068	20200926	http://www.ptinews.com/news/11838031_Farm-bills-anti-farmer--J-khand-CM.html
948742476	20200926	202009	2020	2020.7288											IND	KOLKATA	IND								0	141	141	14	3	-6.5	6	1	6	-6.21468926553672	0							4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200926	https://indianexpress.com/article/india/how-protests-played-out-in-other-states-6616128/
948742700	20200926	202009	2020	2020.7288	AGR	FARMER						AGR													0	120	120	12	3	-4.0	6	1	6	-2.44252873563219	4	Bankura, West Bengal, India	IN	IN28	23.25	87.0667	-2090243	0							4	Bankura, West Bengal, India	IN	IN28	23.25	87.0667	-2090243	20200926	https://indianexpress.com/article/india/west-bengal-protests-against-farm-bills-sweep-state-6616085/
948742701	20200926	202009	2020	2020.7288	AGR	FARMER						AGR													0	120	120	12	3	-4.0	10	1	10	-2.44252873563219	4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	0							4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200926	https://indianexpress.com/article/india/west-bengal-protests-against-farm-bills-sweep-state-6616085/
948742702	20200926	202009	2020	2020.7288	AGR	FARMER						AGR													0	120	120	12	3	-4.0	4	1	4	-2.44252873563219	4	Hooghly, West Bengal, India	IN	IN28	22.8956	88.4025	-2097634	0							4	Hooghly, West Bengal, India	IN	IN28	22.8956	88.4025	-2097634	20200926	https://indianexpress.com/article/india/west-bengal-protests-against-farm-bills-sweep-state-6616085/
948742703	20200926	202009	2020	2020.7288	AGR	FARMER						AGR													0	141	141	14	3	-6.5	10	1	10	-2.44252873563219	4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	0							4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200926	https://indianexpress.com/article/india/west-bengal-protests-against-farm-bills-sweep-state-6616085/
948742704	20200926	202009	2020	2020.7288	AGR	FARMER						AGR													1	141	141	14	3	-6.5	4	1	4	-6.21468926553672	4	Davangere, Karnataka, India	IN	IN19	14.4667	75.9167	-2094156	0							4	Davangere, Karnataka, India	IN	IN19	14.4667	75.9167	-2094156	20200926	https://indianexpress.com/article/india/how-protests-played-out-in-other-states-6616128/
948742705	20200926	202009	2020	2020.7288	AGR	FARMER						AGR													1	141	141	14	3	-6.5	49	3	44	-2.40830818598213	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	0							4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	20200926	https://indianexpress.com/article/india/how-protests-played-out-in-other-states-6616128/
948742706	20200926	202009	2020	2020.7288	AGR	FARMER						AGR													0	191	191	19	4	-9.5	10	1	10	-6.21468926553672	5	Karnataka, Karnataka, India	IN	IN19	13.5	76	-2099860	0							5	Karnataka, Karnataka, India	IN	IN19	13.5	76	-2099860	20200926	https://indianexpress.com/article/india/how-protests-played-out-in-other-states-6616128/
948742707	20200926	202009	2020	2020.7288	AGR	FARMER						AGR			IND	AMRITSAR	IND								1	141	141	14	3	-6.5	3	1	3	-6.21468926553672	4	Davangere, Karnataka, India	IN	IN19	14.4667	75.9167	-2094156	4	Davangere, Karnataka, India	IN	IN19	14.4667	75.9167	-2094156	4	Davangere, Karnataka, India	IN	IN19	14.4667	75.9167	-2094156	20200926	https://indianexpress.com/article/india/how-protests-played-out-in-other-states-6616128/
948742708	20200926	202009	2020	2020.7288	ARE	UNITED ARAB EMIRATES	ARE																		0	010	010	01	1	0.0	2	1	2	-3.69649805447471	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200926	https://indianexpress.com/article/india/fincen-files-flagged-in-each-offshore-tax-probe-rosy-blue-is-now-on-us-radar-6615352/
948742788	20200926	202009	2020	2020.7288	BUS	COMPANIES						BUS													1	040	040	04	1	1.0	40	3	40	-0.579782199875112	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200926	https://www.wausaudailyherald.com/story/money/business/2020/09/25/report-harley-davidson-may-continue-sell-motorcycles-india/3534111001/
948742827	20200926	202009	2020	2020.7288	BUS	COMPANIES						BUS			GOVAGR	AGRICULTURE MINIST						GOV	AGR		1	010	010	01	1	0.0	5	1	5	0.47619047619047	4	Ranchi, Jharkhand, India	IN	IN38	23.35	85.3333	-2109068	4	Ranchi, Jharkhand, India	IN	IN38	23.35	85.3333	-2109068	4	Ranchi, Jharkhand, India	IN	IN38	23.35	85.3333	-2109068	20200926	http://www.ptinews.com/news/11838031_Farm-bills-anti-farmer--J-khand-CM.html
948742946	20200926	202009	2020	2020.7288	CHN	CHINA	CHN																		1	120	120	12	3	-4.0	16	2	16	-0.67051301521123	1	China	CH	CH	35	105	CH	0							1	India	IN	IN	20	77	IN	20200926	https://www.wellandtribune.ca/ts/news/canada/2020/09/25/we-need-to-eliminate-the-virus-everywhere-canada-to-pump-440m-into-global-vaccine-sharing-effort.html
948742982	20200926	202009	2020	2020.7288	COP	POLICE						COP													1	010	010	01	1	0.0	10	1	10	-5.69105691056911	4	Faridabad, Haryana, India	IN	IN10	28.4333	77.3167	-2095578	0							4	Faridabad, Haryana, India	IN	IN10	28.4333	77.3167	-2095578	20200926	https://indianewengland.com/2020/09/three-injured-in-gunfight-at-treatment-plant-in-gurugram/
