948334103	20190925	201909	2019	2019.7260	USA	LAWRENCE	USA																		0	052	052	05	1	3.5	5	1	5	0.69238377843719	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200924	http://www.msn.com/en-nz/motoring/news/racing-lines-peter-dumbreck-on-his-16th-n24-outing/ar-BB19mjSZ
948334181	20200924	202009	2020	2020.7233											BGD	BANGLADESH	BGD								1	043	043	04	1	2.8	2	1	2	-1.49253731343284	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200924	https://timesofindia.indiatimes.com/city/nashik/500-trucks-with-onions-meant-for-export-return/articleshow/78282100.cms
948334182	20200924	202009	2020	2020.7233											BGD	BANGLADESH	BGD								1	043	043	04	1	2.8	8	1	8	-1.49253731343284	0							1	Bangladesh	BG	BG	24	90	BG	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200924	https://timesofindia.indiatimes.com/city/nashik/500-trucks-with-onions-meant-for-export-return/articleshow/78282100.cms
948334324	20200924	202009	2020	2020.7233											IND	SURAT	IND								1	043	043	04	1	2.8	8	1	8	-1.43437724121444	0							4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	20200924	https://indianexpress.com/article/india/3-persons-detained-in-surat-with-marijuana-worth-rs-56-45-lakh-6608328/
948334325	20200924	202009	2020	2020.7233											IND	SURAT	IND								1	084	084	08	2	7.0	4	1	4	-6.07476635514018	0							4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	20200924	https://indianexpress.com/article/india/gldc-official-booked-in-disproportionate-assets-case-rs-2-20-crore-not-accounted-for-6608356/
948334326	20200924	202009	2020	2020.7233											IND	SURAT	IND								1	190	190	19	4	-10.0	78	11	78	-3.658553058951	0							4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	20200924	https://www.indiatoday.in/india/story/fire-breaks-out-blast-ongc-plant-gujarat-surat-1724781-2020-09-24
948334610	20200924	202009	2020	2020.7233	AGR	FARMER						AGR													1	012	012	01	1	-0.4	21	3	15	-0.54070975738268	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	0							4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	20200924	https://indianexpress.com/article/india/committed-to-msp-but-it-was-never-part-of-law-agri-minister-6608279/
948334613	20200924	202009	2020	2020.7233	AGR	FARMER						AGR													1	081	081	08	2	5.0	10	1	10	-0.73891625615764	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200924	https://indianexpress.com/article/india/back-farmers-demand-to-legalise-msp-as-floor-price-says-ally-jdu-6608295/
948334689	20200924	202009	2020	2020.7233	BEL	BELGIUM	BEL								BELMED	BRUSSELS	BEL					MED			1	010	010	01	1	0.0	4	2	4	-5.13908701854493	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200924	https://www.dw.com/en/coronavirus-digest-belgium-to-scrap-face-mask-rules/a-55033830
948334693	20200924	202009	2020	2020.7233	BGD	BANGLADESH	BGD																		1	042	042	04	1	1.9	10	1	10	-1.49253731343284	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200924	https://timesofindia.indiatimes.com/city/nashik/500-trucks-with-onions-meant-for-export-return/articleshow/78282100.cms
948334733	20200924	202009	2020	2020.7233	BUS	MANUFACTURER						BUS													0	020	020	02	1	3.0	5	1	5	-1.51285930408472	4	Ambala, Haryana, India	IN	IN10	30.3783	76.7808	-2088644	0							4	Ambala, Haryana, India	IN	IN10	30.3783	76.7808	-2088644	20200924	https://indianexpress.com/article/india/no-tech-transfer-yet-rafale-makers-didnt-deliver-on-offsets-says-cag-6608308/
948334851	20200924	202009	2020	2020.7233	BUS	INDUSTRY						BUS			USAMED	REUTERS	USA					MED			0	013	013	01	1	0.4	14	2	14	-0.58777601829858	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	20200924	https://uk.finance.yahoo.com/news/musk-sees-no-immediate-boost-020424626.html
948334920	20200924	202009	2020	2020.7233	CHE	GENEVA	CHE								MED	NEWS AGENCY						MED			1	013	013	01	1	0.4	3	1	3	-5.27817403708987	1	Australia	AS	AS	-25	135	AS	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200924	https://www.dw.com/en/coronavirus-digest-belgium-to-scrap-face-mask-rules/a-55033830
948335019	20200924	202009	2020	2020.7233	COP	POLICE						COP													0	010	010	01	1	0.0	4	1	4	-3.93258426966292	4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	0							4	Surat, Gujarat, India	IN	IN09	20.9667	72.9	-2098110	20200924	https://indianexpress.com/article/india/3-persons-detained-in-surat-with-marijuana-worth-rs-56-45-lakh-6608328/
948335034	20200924	202009	2020	2020.7233	COP	DEPUTY						COP													1	040	040	04	1	1.0	9	2	9	-3.55984677546309	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200924	https://indianexpress.com/article/india/ncb-summons-deepika-sara-ali-shraddha-kapoor-6608266/
948335036	20200924	202009	2020	2020.7233	COP	DEPUTY						COP													1	040	040	04	1	1.0	2	1	2	-3.55932203389831	4	Bandra, Maharashtra, India	IN	IN16	19.0667	72.8333	82619	0							4	Bandra, Maharashtra, India	IN	IN16	19.0667	72.8333	82619	20200924	https://indianexpress.com/article/india/ncb-summons-deepika-sara-ali-shraddha-kapoor-6608266/
948335054	20200924	202009	2020	2020.7233	COP	POLICE						COP													1	090	090	09	2	-2.0	10	1	10	-6.07476635514018	4	Tapi, India (general), India	IN	IN00	21.1	72.6833	-2112666	0							4	Tapi, India (general), India	IN	IN00	21.1	72.6833	-2112666	20200924	https://indianexpress.com/article/india/gldc-official-booked-in-disproportionate-assets-case-rs-2-20-crore-not-accounted-for-6608356/
948335056	20200924	202009	2020	2020.7233	COP	POLICE						COP													1	112	112	11	3	-2.0	20	3	20	-6.63222385086188	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200924	https://indianexpress.com/article/india/delhi-riots-chargesheet-khurshid-kavita-krishnan-named-by-accused-for-provocative-speeches-6608309/
