945219477	20200908	202009	2020	2020.6795											COP	POLICE						COP			1	190	190	19	4	-10.0	2	1	2	-16.0256410256411	0							4	Bhukan, Rajasthan, India	IN	IN24	25.6667	72	-2091703	4	Bhukan, Rajasthan, India	IN	IN24	25.6667	72	-2091703	20200908	https://timesofindia.indiatimes.com/city/rajkot/stone-killer-stoned-to-death-five-booked/articleshow/77985656.cms
945219478	20200908	202009	2020	2020.6795											COP	POLICE						COP			1	190	190	19	4	-10.0	3	1	3	-16.0256410256411	0							4	Rajkot, Gujarat, India	IN	IN09	22.3	70.7833	-2108747	4	Rajkot, Gujarat, India	IN	IN09	22.3	70.7833	-2108747	20200908	https://timesofindia.indiatimes.com/city/rajkot/stone-killer-stoned-to-death-five-booked/articleshow/77985656.cms
945219486	20200908	202009	2020	2020.6795											CVL	TRAVELER						CVL			1	043	043	04	1	2.8	35	4	31	-1.08840720683252	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200908	https://www.fxstreet.com/news/nzd-usd-struggles-to-regain-06700-amid-risk-reset-202009072329
945219546	20200908	202009	2020	2020.6795											IND	NEW DELHI	IND								1	042	042	04	1	1.9	85	21	85	-4.17056438282529	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200908	https://www.columbian.com/news/2020/sep/07/india-now-2nd-behind-u-s-in-coronavirus-cases/
945219682	20200908	202009	2020	2020.6795	AFGGOV	ABDUL ALI	AFG					GOV			MOS	MUSLIM				MOS					1	020	020	02	1	3.0	1	1	1	2.32558139534884	4	Arcot, Tamil Nadu, India	IN	IN25	12.9	79.3333	-2089072	4	Arcot, Tamil Nadu, India	IN	IN25	12.9	79.3333	-2089072	4	Arcot, Tamil Nadu, India	IN	IN25	12.9	79.3333	-2089072	20200908	https://www.thehindu.com/news/national/tamil-nadu/observe-safety-protocols-in-mosques-prince-of-arcot/article32547396.ece
945219687	20200908	202009	2020	2020.6795	AGR	FARMER						AGR													1	020	020	02	1	3.0	10	1	10	-2.94985250737463	4	Sutrapada, Gujarat, India	IN	IN09	20.8514	70.4831	-2112319	0							4	Sutrapada, Gujarat, India	IN	IN09	20.8514	70.4831	-2112319	20200908	https://timesofindia.indiatimes.com/city/rajkot/gir-somnath-farmers-protest-laying-of-27-km-bg-line/articleshow/77985209.cms
945219688	20200908	202009	2020	2020.6795	AGR	FARMER						AGR			COP	DEPUTY						COP			1	140	140	14	3	-6.5	1	1	1	-2.94985250737463	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	20200908	https://timesofindia.indiatimes.com/city/rajkot/gir-somnath-farmers-protest-laying-of-27-km-bg-line/articleshow/77985209.cms
945219689	20200908	202009	2020	2020.6795	AGR	FARMER						AGR			COP	DEPUTY						COP			1	140	140	14	3	-6.5	1	1	1	-2.94985250737463	4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	20200908	https://timesofindia.indiatimes.com/city/rajkot/gir-somnath-farmers-protest-laying-of-27-km-bg-line/articleshow/77985209.cms
945219690	20200908	202009	2020	2020.6795	AGR	FARMER						AGR			CVL	VILLAGE						CVL			1	042	042	04	1	1.9	2	1	2	-2.94985250737463	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	20200908	https://timesofindia.indiatimes.com/city/rajkot/gir-somnath-farmers-protest-laying-of-27-km-bg-line/articleshow/77985209.cms
945219691	20200908	202009	2020	2020.6795	AGR	FARMER						AGR			CVL	VILLAGE						CVL			1	042	042	04	1	1.9	1	1	1	-2.94985250737463	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	4	Kodinar, Gujarat, India	IN	IN09	20.7903	70.7031	-2101166	20200908	https://timesofindia.indiatimes.com/city/rajkot/gir-somnath-farmers-protest-laying-of-27-km-bg-line/articleshow/77985209.cms
