943924017	20200901	202009	2020	2020.6603											COP	PRISON						COP			1	112	112	11	3	-2.0	8	2	8	-5.04660668078099	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200901	https://www.news18.com/news/world/guilty-plea-in-hawaii-womans-lobbying-of-trump-officials-2837173.html
943924077	20200901	202009	2020	2020.6603											ELI	ACTOR						ELI			1	020	020	02	1	3.0	14	2	14	-3.52726758817316	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200901	https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-suicide-cbi-probe-6578128/
943924078	20200901	202009	2020	2020.6603											ELI	ACTOR						ELI			0	020	020	02	1	3.0	3	1	3	-4.30107526881721	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200901	https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-suicide-cbi-probe-6578128/
943924079	20200901	202009	2020	2020.6603											ELI	ACTOR						ELI			1	020	020	02	1	3.0	13	2	13	-3.52726758817316	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200901	https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-suicide-cbi-probe-6578128/
943924161	20200901	202009	2020	2020.6603											LEG	CONGRESS						LEG			0	043	043	04	1	2.8	10	1	10	-1.01419878296146	0							4	Jangipur, West Bengal, India	IN	IN28	24.4667	88.0667	-2098302	4	Jangipur, West Bengal, India	IN	IN28	24.4667	88.0667	-2098302	20200901	https://timesofindia.indiatimes.com/india/pranab-mukherjee-a-president-who-could-have-been-pm/articleshow/77862197.cms
943924596	20200901	202009	2020	2020.6603	CHN	CHINA	CHN																		0	020	020	02	1	3.0	21	13	21	-4.45040174072967	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	0							4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	20200901	https://www.chinanationalnews.com/news/266263103/indian-army-beats-china-occupation-near-pangong-lake
943924633	20200901	202009	2020	2020.6603	COP	POLICE						COP													0	080	080	08	2	5.0	12	1	12	-4.54906161964846	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200901	https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-suicide-cbi-probe-6578128/
943924634	20200901	202009	2020	2020.6603	COP	POLICE						COP													1	080	080	08	2	5.0	12	3	12	-3.39604375277472	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200901	https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-suicide-cbi-probe-6578128/
943924635	20200901	202009	2020	2020.6603	COP	POLICE						COP													0	080	080	08	2	5.0	2	1	2	-4.30107526881721	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200901	https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-suicide-cbi-probe-6578128/
943924823	20200901	202009	2020	2020.6603	CZE	CZECH REPUBLIC	CZE								GBR	UNITED KINGDOM	GBR								0	057	057	05	1	8.0	2	1	2	-0.10482180293501	1	India	IN	IN	20	77	IN	1	United Kingdom	UK	UK	54	-4	UK	1	United Kingdom	UK	UK	54	-4	UK	20200901	https://www.msn.com/en-ca/news/canada/us-drug-company-novavax-signs-deal-to-supply-76-million-doses-of-possible-covid-19-vaccine-to-canada/ar-BB18yoAX
943924908	20200901	202009	2020	2020.6603	EDU	SCHOOL						EDU													1	080	080	08	2	5.0	130	26	130	-5.02805131703086	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200901	https://www.peoriapublicradio.org/post/indian-economy-shrinks-24-country-sees-its-highest-coronavirus-numbers
943925004	20200901	202009	2020	2020.6603	ELI	RETIRED						ELI			SPY	OPERATIVE						SPY			0	043	043	04	1	2.8	2	1	2	1.89982728842833	1	India	IN	IN	20	77	IN	1	Sri Lanka	CE	CE	7	81	CE	1	Sri Lanka	CE	CE	7	81	CE	20200901	http://www.lankaweb.com/news/items/2020/08/31/media-reports-on-the-appointment-of-mr-milinda-moragoda-as-sri-lankas-ambassador-to-india/comment-page-1/
943925005	20200901	202009	2020	2020.6603	ELI	RETIRED						ELI			SPY	OPERATIVE						SPY			0	043	043	04	1	2.8	2	1	2	1.89982728842833	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200901	http://www.lankaweb.com/news/items/2020/08/31/media-reports-on-the-appointment-of-mr-milinda-moragoda-as-sri-lankas-ambassador-to-india/comment-page-1/
943925053	20200901	202009	2020	2020.6603	GBR	UNITED KINGDOM	GBR								CZE	CZECH REPUBLIC	CZE								0	057	057	05	1	8.0	2	1	2	-0.10482180293501	1	United Kingdom	UK	UK	54	-4	UK	1	India	IN	IN	20	77	IN	1	United Kingdom	UK	UK	54	-4	UK	20200901	https://www.msn.com/en-ca/news/canada/us-drug-company-novavax-signs-deal-to-supply-76-million-doses-of-possible-covid-19-vaccine-to-canada/ar-BB18yoAX
943925088	20200901	202009	2020	2020.6603	GIN	GUINEA	GIN																		1	141	141	14	3	-6.5	10	1	10	-1.99335548172757	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200901	https://www.news18.com/news/world/guinea-president-to-seek-3rd-term-despite-opposition-2837169.html
943925130	20200901	202009	2020	2020.6603	GOV	PRIME MINISTER						GOV													1	033	033	03	1	5.2	130	26	130	-5.02805131703086	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200901	https://www.peoriapublicradio.org/post/indian-economy-shrinks-24-country-sees-its-highest-coronavirus-numbers
943925181	20200901	202009	2020	2020.6603	GOV	AUTHORITIES						GOV													0	124	124	12	3	-4.0	260	26	260	-5.02805131703086	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200901	https://www.peoriapublicradio.org/post/indian-economy-shrinks-24-country-sees-its-highest-coronavirus-numbers
943925223	20200901	202009	2020	2020.6603	GOV	ENVOY						GOV			FSM	MICRONESIA	FSM								1	050	050	05	1	3.5	24	12	24	2.87356321839081	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200901	https://www.greekherald.com/news/266263340/shambhu-s-kumaran-appointed-india-envoy-to-micronesia-palau
943925225	20200901	202009	2020	2020.6603	GOV	ENVOY						GOV			FSM	MICRONESIA	FSM								1	050	050	05	1	3.5	24	12	24	2.87356321839081	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200901	https://www.greekherald.com/news/266263340/shambhu-s-kumaran-appointed-india-envoy-to-micronesia-palau
943925387	20200901	202009	2020	2020.6603	HLH	DOCTOR						HLH			INDHLH	MUMBAI	IND					HLH			0	013	013	01	1	0.4	3	1	3	-4.54906161964846	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200901	https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-suicide-cbi-probe-6578128/
943925406	20200901	202009	2020	2020.6603	IND	NEW DELHI	IND								ELIJUD	RETIRED						ELI	JUD		1	010	010	01	1	0.0	10	1	10	-3.37301587301587	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200901	https://timesofindia.indiatimes.com/india/cant-be-guided-by-opinions-of-ex-judges-or-media-supreme-court/articleshow/77862165.cms
943925407	20200901	202009	2020	2020.6603	IND	NEW DELHI	IND								MED	MEDIA						MED			1	010	010	01	1	0.0	10	1	10	-3.37301587301587	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200901	https://timesofindia.indiatimes.com/india/cant-be-guided-by-opinions-of-ex-judges-or-media-supreme-court/articleshow/77862165.cms
