945650370	20200910	202009	2020	2020.6849											GOV	CABINET						GOV			1	050	050	05	1	3.5	28	4	28	-0.954923027350043	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200910	http://www.lankaweb.com/news/items/2020/09/09/statement-of-the-national-joint-committee-on-the-proposed-20th-amendment-and-the-urgent-need-to-repeal-the-13th-and-16th-amendments-2/
945650378	20200910	202009	2020	2020.6849											GOV	GOVERNMENT						GOV			0	100	100	10	3	-5.0	20	4	20	-4.66772397604015	0							5	Kerala, Kerala, India	IN	IN13	10	76.5	-2100307	5	Kerala, Kerala, India	IN	IN13	10	76.5	-2100307	20200910	https://www.bloomberg.com/news/articles/2020-09-09/rift-over-public-funding-comes-to-a-head-in-virus-ravaged-india
945650381	20200910	202009	2020	2020.6849											GOV	GOVERNMENT						GOV			0	114	114	11	3	-2.0	6	2	6	-4.58509500280169	0							5	Kerala, Kerala, India	IN	IN13	10	76.5	-2100307	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200910	https://www.bloomberg.com/news/articles/2020-09-09/rift-over-public-funding-comes-to-a-head-in-virus-ravaged-india
945650382	20200910	202009	2020	2020.6849											GOV	GOVERNMENT						GOV			0	114	114	11	3	-2.0	23	6	23	-4.61152477843562	0							5	Kerala, Kerala, India	IN	IN13	10	76.5	-2100307	5	Kerala, Kerala, India	IN	IN13	10	76.5	-2100307	20200910	https://www.bloomberg.com/news/articles/2020-09-09/rift-over-public-funding-comes-to-a-head-in-virus-ravaged-india
945650403	20200910	202009	2020	2020.6849											IND	MUMBAI	IND								1	042	042	04	1	1.9	164	22	152	-4.6884097828515	0							4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.thenews.com.pk/latest/712682-kangana-ranauts-mumbai-office-knocked-down-by-government-officials
945650444	20200910	202009	2020	2020.6849											MED	JOURNALIST						MED			0	051	051	05	1	3.4	50	5	50	-9.09090909090905	0							4	Shiv, Rajasthan, India	IN	IN24	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	26.1833	71.25	-2111141	20200910	https://www.batonrougepost.com/news/266349542/himachal-cm-condemns-demolition-of-kangana-property-by-bmc
945650470	20200910	202009	2020	2020.6849											PTY	POLITICIAN									1	051	051	05	1	3.4	5	1	5	-2.5531914893617	0							4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.thenews.com.pk/latest/712682-kangana-ranauts-mumbai-office-knocked-down-by-government-officials
945650681	20200910	202009	2020	2020.6849	AFR	AFRICA	AFR								ZAF	DURBAN	ZAF								0	042	042	04	1	1.9	4	2	4	-1.84842883548984	1	India	IN	IN	20	77	IN	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	-29.85	31.0167	-1224926	20200910	https://www.africaleader.com/news/266349164/obituary--human-rights-advocate-george-bizos-dies-at-the-age-of-92
945650786	20200910	202009	2020	2020.6849	BRBELI	ERROL BARROW	BRB					ELI			GOV	ADMINISTRATION						GOV			0	043	043	04	1	2.8	10	2	10	5.13485728625733	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200910	http://www.loopnewsbarbados.com/content/uwi-cave-hill-immortalises-sir-hilary-beckles-admin-building
945650802	20200910	202009	2020	2020.6849	BUS	COMPANIES						BUS													0	0311	031	03	1	5.2	16	3	16	-2.90044009804589	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20200910	https://news.yahoo.com/india-start-ups-flounder-tensions-231613788.html
945650803	20200910	202009	2020	2020.6849	BUS	COMPANIES						BUS													0	0311	031	03	1	5.2	6	3	6	-2.90044009804589	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200910	https://news.yahoo.com/india-start-ups-flounder-tensions-231613788.html
945650992	20200910	202009	2020	2020.6849	CHN	BEIJING	CHN																		1	120	120	12	3	-4.0	3	3	3	-2.90044009804589	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200910	https://news.yahoo.com/india-start-ups-flounder-tensions-231613788.html
945650993	20200910	202009	2020	2020.6849	CHN	BEIJING	CHN																		1	120	120	12	3	-4.0	3	3	3	-2.90044009804589	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20200910	https://news.yahoo.com/india-start-ups-flounder-tensions-231613788.html
945650994	20200910	202009	2020	2020.6849	CHN	CHINA	CHN																		1	120	120	12	3	-4.0	6	3	6	-2.90044009804589	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200910	https://news.yahoo.com/india-start-ups-flounder-tensions-231613788.html
945651001	20200910	202009	2020	2020.6849	CHN	CHINA	CHN								BUS	COMPANIES						BUS			0	0311	031	03	1	5.2	2	1	2	-2.77246653919694	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20200910	https://news.yahoo.com/india-start-ups-flounder-tensions-231613788.html
945651170	20200910	202009	2020	2020.6849	CRM	CRIMINAL						CRM													1	115	115	11	3	-2.0	15	2	15	-4.93108079451473	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.thenews.com.pk/latest/712682-kangana-ranauts-mumbai-office-knocked-down-by-government-officials
945651176	20200910	202009	2020	2020.6849	CRM	CRIMINAL						CRM			JUD	ADVOCATE						JUD			0	115	115	11	3	-2.0	5	1	5	-2.5531914893617	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.thenews.com.pk/latest/712682-kangana-ranauts-mumbai-office-knocked-down-by-government-officials
945651313	20200910	202009	2020	2020.6849	EDU	SCHOOL						EDU													1	020	020	02	1	3.0	5	1	5	-0.90579710144927	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	0							4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	20200910	https://www.financialexpress.com/opinion/pandemic-proofing-schools-sops-for-reopening-good-but-need-to-strengthen-online-learning/2079280/
945651383	20200910	202009	2020	2020.6849	EDU	UNIVERSITY						EDU			CHN	CHINESE	CHN								1	174	174	17	4	-5.0	2	1	2	-1	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200910	https://www.financialexpress.com/opinion/fair-review-india-needs-to-get-e-commerce-players-to-fund-research-on-the-fake-review-and-ratings-industry/2079275/
945651437	20200910	202009	2020	2020.6849	EDU	SCHOOL						EDU			USA	THE US	USA								0	080	080	08	2	5.0	10	1	10	-0.90579710144927	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	20200910	https://www.financialexpress.com/opinion/pandemic-proofing-schools-sops-for-reopening-good-but-need-to-strengthen-online-learning/2079280/
945651464	20200910	202009	2020	2020.6849	ELI	ACTOR						ELI			IND	MUMBAI	IND								0	072	072	07	2	8.3	5	5	5	-9.09090909090905	4	Shiv, Rajasthan, India	IN	IN24	26.1833	71.25	-2111141	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.batonrougepost.com/news/266349542/himachal-cm-condemns-demolition-of-kangana-property-by-bmc
945651465	20200910	202009	2020	2020.6849	ELI	ACTOR						ELI			PAK	PAKISTAN	PAK								0	072	072	07	2	8.3	10	5	10	-9.09090909090905	4	Shiv, Rajasthan, India	IN	IN24	26.1833	71.25	-2111141	1	Pakistan	PK	PK	30	70	PK	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.batonrougepost.com/news/266349542/himachal-cm-condemns-demolition-of-kangana-property-by-bmc
945651633	20200910	202009	2020	2020.6849	GOV	GOVERNMENT						GOV													1	030	030	03	1	4.0	13	2	13	-4.23152830886888	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200910	https://www.bloomberg.com/news/articles/2020-09-09/rift-over-public-funding-comes-to-a-head-in-virus-ravaged-india
945651675	20200910	202009	2020	2020.6849	GOV	GOVERNMENT						GOV													1	0842	084	08	2	7.0	30	3	30	-4.47265920540762	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.bloomberg.com/news/articles/2020-09-09/rift-over-public-funding-comes-to-a-head-in-virus-ravaged-india
945651682	20200910	202009	2020	2020.6849	GOV	PRESIDENT						GOV													1	110	110	11	3	-2.0	2	1	2	-0.40849673202614	1	Sri Lanka	CE	CE	7	81	CE	0							1	India	IN	IN	20	77	IN	20200910	http://www.lankaweb.com/news/items/2020/09/09/statement-of-the-national-joint-committee-on-the-proposed-20th-amendment-and-the-urgent-need-to-repeal-the-13th-and-16th-amendments-2/
945651696	20200910	202009	2020	2020.6849	GOV	GOVERNMENT						GOV													1	1712	171	17	4	-9.2	91	12	91	-6.09124981390581	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.thenews.com.pk/latest/712682-kangana-ranauts-mumbai-office-knocked-down-by-government-officials
945651698	20200910	202009	2020	2020.6849	GOV	GOVERNMENT						GOV													1	172	172	17	4	-5.0	79	10	79	-6.23766688663794	4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	0							4	Bombay, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.thenews.com.pk/latest/712682-kangana-ranauts-mumbai-office-knocked-down-by-government-officials
945651700	20200910	202009	2020	2020.6849	GOV	GOVERNMENT						GOV													1	172	172	17	4	-5.0	30	3	30	-3.52092770906835	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200910	https://www.financialexpress.com/opinion/fair-review-india-needs-to-get-e-commerce-players-to-fund-research-on-the-fake-review-and-ratings-industry/2079275/
945651717	20200910	202009	2020	2020.6849	GOV	ADMINISTRATION						GOV			BRBELI	ERROL BARROW	BRB					ELI			0	042	042	04	1	1.9	10	2	10	5.13485728625733	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200910	http://www.loopnewsbarbados.com/content/uwi-cave-hill-immortalises-sir-hilary-beckles-admin-building
945651726	20200910	202009	2020	2020.6849	GOV	GOVERNMENT						GOV			BUS	COMPANIES						BUS			1	071	071	07	2	7.4	10	1	10	-1	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200910	https://www.financialexpress.com/opinion/fair-review-india-needs-to-get-e-commerce-players-to-fund-research-on-the-fake-review-and-ratings-industry/2079275/
945651727	20200910	202009	2020	2020.6849	GOV	CHIEF MINISTER						GOV			BUS	CORPORATION						BUS			1	111	111	11	3	-2.0	20	5	20	-9.09090909090905	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.batonrougepost.com/news/266349542/himachal-cm-condemns-demolition-of-kangana-property-by-bmc
945651778	20200910	202009	2020	2020.6849	GOV	MINIST OF HOME AFFAIRS						GOV			IND	MUMBAI	IND								0	180	180	18	4	-9.0	50	5	50	-9.09090909090905	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200910	https://www.batonrougepost.com/news/266349542/himachal-cm-condemns-demolition-of-kangana-property-by-bmc
