944137754	20190903	201909	2019	2019.6658											IDN	INDONESIA	IDN								1	061	061	06	2	6.4	5	1	5	-2.03125	0							1	Indonesia	ID	ID	-5	120	ID	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200902	https://www.hellenicshippingnews.com/indias-coal-imports-stumble-in-august-raising-risk-of-slow-recovery/
944137813	20200826	202008	2020	2020.6466											LEG	STATE ASSEMBLY						LEG			1	036	036	03	1	4.0	10	1	10	-2.20588235294118	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200902	https://timesofindia.indiatimes.com/india/jitan-ram-manjhi-nitish-kumar-to-join-hands-tomorrow/articleshow/77881238.cms
944137834	20200826	202008	2020	2020.6466	LEG	STATE ASSEMBLY						LEG													1	036	036	03	1	4.0	10	1	10	-2.20588235294118	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200902	https://timesofindia.indiatimes.com/india/jitan-ram-manjhi-nitish-kumar-to-join-hands-tomorrow/articleshow/77881238.cms
944137992	20200902	202009	2020	2020.6630											GOV	ADMINISTRATION						GOV			0	046	046	04	1	7.0	3	1	3	-2.85714285714285	0							4	Prem Nagar, Uttar Pradesh, India	IN	IN36	27.0381	79.3461	10452564	4	Ludhiana, Punjab, India	IN	IN23	30.9	75.85	-2102840	20200902	https://timesofindia.indiatimes.com/city/ludhiana/railways-defer-boundary-wall-construction-after-locals-protest/articleshow/77877796.cms
944138023	20200902	202009	2020	2020.6630											IDN	INDONESIA	IDN								1	061	061	06	2	6.4	5	1	5	-2.03125	0							1	Indonesia	ID	ID	-5	120	ID	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200902	https://www.hellenicshippingnews.com/indias-coal-imports-stumble-in-august-raising-risk-of-slow-recovery/
944138026	20200902	202009	2020	2020.6630											IND	DELHI	IND								1	042	042	04	1	1.9	120	21	114	-3.36007756696259	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200902	https://www.indiagazette.com/news/266274603/mortal-remains-of-pranab-mukherjee-immersed-in-ganga-at-haridwar
944138027	20200902	202009	2020	2020.6630											IND	NEW DELHI	IND								0	042	042	04	1	1.9	4	1	4	-3.39321357285429	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	20200902	https://punemirror.indiatimes.com/news/india/army-thwarts-chinas-invasion-bid-in-ladakh/articleshow/77859282.cms
944138028	20200902	202009	2020	2020.6630											IND	NEW DELHI	IND								1	042	042	04	1	1.9	23	4	23	-2.41055399548316	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200902	https://punemirror.indiatimes.com/news/india/army-thwarts-chinas-invasion-bid-in-ladakh/articleshow/77859282.cms
944138039	20200902	202009	2020	2020.6630											JUD	HIGH COURT						JUD			1	020	020	02	1	3.0	12	4	12	-4.73921394799055	0							4	Aligarh, Uttar Pradesh, India	IN	IN36	27.45	83.1333	-2088486	4	Aligarh, Uttar Pradesh, India	IN	IN36	27.45	83.1333	-2088486	20200902	https://www.indiagazette.com/news/266274241/up-dr-kafeel-khan-released-from-jail-thanks-judiciary
944138040	20200902	202009	2020	2020.6630											JUD	HIGH COURT						JUD			1	020	020	02	1	3.0	4	4	4	-4.73921394799055	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200902	https://www.indiagazette.com/news/266274241/up-dr-kafeel-khan-released-from-jail-thanks-judiciary
