945045810	20200907	202009	2020	2020.6767											COP	POLICE						COP			1	112	112	11	3	-2.0	6	1	6	-8.27338129496403	0							4	Kannauj, Uttar Pradesh, India	IN	IN36	27.0546	79.922	-2099545	4	Kannauj, Uttar Pradesh, India	IN	IN36	27.0546	79.922	-2099545	20200907	https://www.indiatoday.in/crime/story/struck-on-head-with-stick-over-stolen-mobile-seer-dies-in-up-s-kannauj-1719264-2020-09-07
945045870	20200907	202009	2020	2020.6767											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-10.3448275862069	0							4	Barrackpore, West Bengal, India	IN	IN28	22.7614	88.3719	-2090408	4	Barrackpore, West Bengal, India	IN	IN28	22.7614	88.3719	-2090408	20200907	https://www.indiatoday.in/india/story/crude-bomb-explosion-kills-2-injures-another-in-bengal-s-north-24-pargana-1719262-2020-09-07
945045871	20200907	202009	2020	2020.6767											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-8.27338129496403	0							4	Kannauj, Uttar Pradesh, India	IN	IN36	27.0546	79.922	-2099545	4	Kannauj, Uttar Pradesh, India	IN	IN36	27.0546	79.922	-2099545	20200907	https://www.indiatoday.in/crime/story/struck-on-head-with-stick-over-stolen-mobile-seer-dies-in-up-s-kannauj-1719264-2020-09-07
945045874	20200907	202009	2020	2020.6767											IND	KOLKATA	IND								1	183	183	18	4	-10.0	1	1	1	-10.3448275862069	0							4	Barrackpore, West Bengal, India	IN	IN28	22.7614	88.3719	-2090408	4	Barrackpore, West Bengal, India	IN	IN28	22.7614	88.3719	-2090408	20200907	https://www.indiatoday.in/india/story/crude-bomb-explosion-kills-2-injures-another-in-bengal-s-north-24-pargana-1719262-2020-09-07
945045875	20200907	202009	2020	2020.6767											IND	KOLKATA	IND								1	183	183	18	4	-10.0	3	1	3	-10.3448275862069	0							4	Bhatpara, West Bengal, India	IN	IN28	22.8714	88.4089	-2091452	4	Barrackpore, West Bengal, India	IN	IN28	22.7614	88.3719	-2090408	20200907	https://www.indiatoday.in/india/story/crude-bomb-explosion-kills-2-injures-another-in-bengal-s-north-24-pargana-1719262-2020-09-07
945045897	20200907	202009	2020	2020.6767											MIL	WARSHIP						MIL			1	043	043	04	1	2.8	40	3	40	-1.98464912280702	0							4	Arabian Sea, India (general), India	IN	IN00	20	65	-2089022	4	Arabian Sea, India (general), India	IN	IN00	20	65	-2089022	20200907	https://www.kitsapsun.com/story/news/2020/09/06/sailor-missing-uss-nimitz-search-underway-north-arabian-sea/5736106002/
945046251	20200907	202009	2020	2020.6767	CHN	CHINA	CHN								IND	ARUNACHAL PRADESH	IND								0	154	154	15	4	-7.2	3	1	3	-1.70648464163822	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	20200907	https://www.indiatoday.in/india/story/indian-army-seeks-china-s-response-on-abduction-of-5-men-from-arunachal-pradesh-1719267-2020-09-07
945046252	20200907	202009	2020	2020.6767	CHN	CHINA	CHN								IND	ARUNACHAL PRADESH	IND								0	154	154	15	4	-7.2	4	1	4	-1.70648464163822	1	China	CH	CH	35	105	CH	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	20200907	https://www.indiatoday.in/india/story/indian-army-seeks-china-s-response-on-abduction-of-5-men-from-arunachal-pradesh-1719267-2020-09-07
945046253	20200907	202009	2020	2020.6767	CHN	CHINA	CHN								IND	ARUNACHAL PRADESH	IND								1	181	181	18	4	-9.0	6	1	6	-1.70648464163822	1	China	CH	CH	35	105	CH	4	Upper Subansiri, Arunachal Pradesh, India	IN	IN30	28.3	94	-2113902	1	China	CH	CH	35	105	CH	20200907	https://www.indiatoday.in/india/story/indian-army-seeks-china-s-response-on-abduction-of-5-men-from-arunachal-pradesh-1719267-2020-09-07
945046258	20200907	202009	2020	2020.6767	CHN	CHINA	CHN								MIL	MILITARY						MIL			0	154	154	15	4	-7.2	1	1	1	-1.70648464163822	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	1	China	CH	CH	35	105	CH	4	Ladakh, Jammu and Kashmir, India	IN	IN12	34.5	77.5	-2102224	20200907	https://www.indiatoday.in/india/story/indian-army-seeks-china-s-response-on-abduction-of-5-men-from-arunachal-pradesh-1719267-2020-09-07
